BFD	RA	Dec	Diameter	mag	HD	HIP	Name
CG And	0.012120556	45.25333333		6.36	224801	63	
tau Phe	0.017939444	-48.809875		5.71	224834	88	
the Oct	0.026576667	-77.06569444		4.78	224889	122	
29 Psc	0.030402222	-3.027502778		5.13	224926	145	
30 Psc	0.032671944	-6.014069444		4.37	224935	154	
85 Peg	0.036163056	27.08212778		5.8	224930	171	
zet Scl	0.0388675	-29.72041389		5.04	224990	183	
31 Psc	0.040046111	8.956827778		6.33	224995	186	
32 c Psc	0.041583889	8.485466667		5.7	225003	194	
2 Cet	0.062326111	-17.33596944		4.55	225132	301	
9 Cas	0.070461944	62.28766389		5.9	225180	330	
3 Cet	0.075033056	-10.50952222		4.99	225212	355	
33 Psc	0.088927222	-5.707622222		4.61	28	443	
86 Peg	0.094988889	13.39626667		5.55	87	476	
10 Cas	0.107368611	64.19616944		5.57	144	531	
4 Cet	0.12892	-2.548677778		6.43	315	635	
5 Cet	0.136693611	-2.447708333		6.18	352	664	
87 Peg	0.150673611	18.21196389		5.57	448	729	
11 bet Cas	0.152809722	59.15019444		2.28	432	746	Caph
kap01 Scl	0.155853056	-27.98794444		5.42	493	761	
eps Phe	0.156843889	-45.74741944		3.88	496	765	
gam03 Oct	0.167270833	-82.22404722		5.29	636	814	
34 Psc	0.167278611	11.14581944		5.54	560	813	
22 And	0.172012778	46.07227222		5.01	571	841	
6 Cet	0.187738333	-15.46797222		4.89	693	910	
kap02 Scl	0.192894444	-27.79973889		5.41	720	930	
the Scl	0.195558056	-35.13311667		5.24	739	950	
88 gam Peg	0.220597222	15.18361667		2.83	886	1067	Algenib
23 And	0.225233333	41.03540556		5.71	905	1086	
89 chi Peg	0.243378889	20.20669722		4.79	1013	1168	
7 Cet	0.244004444	-18.93286389		4.44	1038	1170	
35 Psc	0.249678056	8.820961111		6.02	1061	1196	
36 Psc	0.276122778	8.24015		6.12	1227	1319	
24 the And	0.28486	38.68164444		4.61	1280	1366	
38 Psc	0.290139722	8.876352778		6.66	1317	1392	
AO Cas	0.295294167	51.43308889		6.11	1337	1415	
25 sig And	0.305460556	36.78522778		4.51	1404	1473	
26 And	0.311713611	43.79115		6.1	1438	1501	
8 iot Cet	0.323798333	-8.823919444		3.56	1522	1562	Deneb Kaitos Shemali
40 Psc	0.332298889	16.25087222		6.6	1563	1595	
zet Tuc	0.334517222	-64.87478611		4.23	1581	1599	
41 d Psc	0.343295	8.190272222		5.38	1635	1645	
pi. Tuc	0.344177222	-69.62491389		5.5	1685	1647	
27 rho And	0.352018889	37.96860556		5.16	1671	1686	
iot Scl	0.358666111	-28.98146944		5.18	1737	1708	
T Cet	0.362853889	-20.05802222		5.61	1760	1728	
42 Psc	0.373745	13.48248889		6.25	1796	1772	
9 Cet	0.381052222	-12.20944167		6.39	1835	1803	
12 Cas	0.413195833	61.83105833		5.38	2011	1960	
44 Psc	0.423391111	1.939688889		5.77	2114	2006	
45 Psc	0.428308889	7.691122222		6.77	2140	2025	
bet Hyi	0.429188611	-77.25425		2.82	2151	2021	
kap Phe	0.436722778	-43.67983056		3.93	2262	2072	
alf Phe	0.438062778	-42.30608889		2.4	2261	2081	Ankaa
10 Cet	0.443725833	0		6.16	2273	2100	
eta Scl	0.465471389	-33.00716667		4.86	2429	2210	
46 Psc	0.466240556	19.51403611		6.4	2410	2213	
47 TV Psc	0.467476389	17.89312222		5.01	2411	2219	
48 Psc	0.470195278	16.44506944		6.05	2436	2224	
12 Cet	0.500655	-3.957330556		5.72	2637	2353	
28 And	0.502045833	29.75155556		5.2	2628	2355	
lam01 Phe	0.523605833	-48.80351389		4.76	2834	2472	
13 Cas	0.523674722	66.51961111		6.18	2729	2474	
bet01 Tuc	0.525741111	-62.958225		4.36	2884	2484	
bet02 Tuc	0.525963333	-62.96556389		4.53	2885	2487	
14 lam Cas	0.529531667	54.52226389		4.74	2772	2505	
51 Psc	0.5399375	6.955466667		5.69	2913	2548	
52 Psc	0.543190556	20.294325		5.38	2910	2568	
bet03 Tuc	0.545529167	-63.03150278		5.07	3003	2578	
15 kap Cas	0.549996389	62.93178611		4.17	2905	2599	
the Tuc	0.556488611	-71.26624444		6.11	3112	2629	
16 Cas	0.573589444	66.75035278		6.47	3038	2707	
13 Cet	0.587467778	-3.592816667		5.2	3196	2762	
14 Cet	0.592453611	0		5.94	3229	2787	
lam02 Phe	0.594770833	-48.00090833		5.51	3302	2802	
53 Psc	0.6131425	15.23173056		5.89	3379	2903	
29 pi. And	0.614679167	33.71934444		4.34	3369	2912	
17 zet Cas	0.616185556	53.89693056		3.69	3360	2920	
15 Cet	0.634595	0		6.64	3512	2994	
30 eps And	0.642595833	29.31174444		4.34	3546	3031	
31 del And	0.655466389	30.86101944		3.27	3627	3092	
54 Psc	0.656057222	21.25046389		5.88	3651	3093	
55 Psc	0.665436944	21.43850556		5.36	3690	3138	
18 alf Cas	0.675108056	56.53740556		2.24	3712	3179	Schedar
32 And	0.685328889	39.45866389		5.3	3817	3231	
mu. Phe	0.688765556	-46.08500833		4.59	3919	3245	
ksi Phe	0.696221111	-56.50131667		5.72	3980	3277	
19 ksi Cas	0.701081667	50.51252222		4.8	3901	3300	
rho Tuc	0.707881389	-65.46803333		5.38	4089	3330	
lam01 Scl	0.711915833	-38.463425		6.05	4065	3356	
eta Phe	0.722566667	-57.46306944		4.36	4150	3405	
20 pi. Cas	0.724464167	47.02454444		4.95	4058	3414	
16 bet Cet	0.726454722	-17.98667778		2.04	4128	3419	Diphda
17 phi01 Cet	0.736500278	-10.60954722		4.77	4188	3455	
lam02 Scl	0.736693889	-38.42169444		5.9	4211	3456	
68 Cas	0.740609167	47.86398056		5.66	4142	3478	
22 omi Cas	0.745417778	48.28438056		4.48	4180	3504	
18 Cet	0.757968611	-12.88079444		6.15	4307	3559	
21 YZ Cas	0.760854722	74.98807222		5.64	4161	3572	
57 Psc	0.775821944	15.4755		5.36	4408	3632	
58 Psc	0.783738611	11.97385556		5.51	4482	3675	
59 Psc	0.787118611	19.57870278		6.11	4490	3685	
34 zet And	0.788996111	24.26736389		4.08	4502	3693	
60 Psc	0.789897778	6.740947222		5.98	4526	3697	
23 Cas	0.796126111	74.84757222		5.42	4382	3721	
61 Psc	0.798563333	20.92534722		6.51	4568	3730	
