Code	RA	DEC	Diameter	mag	Name
IC2	0.183556	-12.821944	0	0	
IC3	0.201687	0.414875	0	0	
IC4	0.224175	17.486083	0	0	
IC5	0.293028	-9.543183	0.8	14	
IC6	0.315242	-3.275639	0.5	14	
IC8	0.317344	-3.221639	0.7	15	
IC9	0.328944	-14.121667	0.4	15	
IC10	0.340036	59.292722	5.1	10.3	
IC12	0.3375	-2.6525	0.7	16	
IC13	0.338939	7.700389	1.6	15	
IC16	0.468861	-13.093611	0.5	15	
IC17	0.474917	2.648611	0	15	
IC18	0.476389	-11.586389	0.6	15	
IC19	0.477611	-11.640594	0.6	15	
IC20	0.477693	-13.01015	0.6	14	
IC21	0.486206	0.163833	0.4	14	
IC22	0.492528	-9.08	0.6	15	
IC24	0.521306	30.839444	0	0	
IC25	0.520028	0.4075	0.8	15	
IC29	0.569662	-2.1775	0.6	15	
IC30	0.57075	-2.085278	0.4	15	
IC31	0.573506	12.268178	1.4	15	
IC32	0.583762	-2.141692	0.4	15	
IC33	0.584722	-2.137778	0.5	15	
IC34	0.593414	9.123889	3.4	14	
IC35	0.627761	10.357889	1.3	15	
IC37	0.642831	-15.358306	0.7	15	
IC38	0.644136	-15.419278	0.6	14	
IC40	0.655961	2.455917	1.2	15	
IC42	0.68495	-15.42775	0.6	15	
IC43	0.706142	29.641528	2.1	0	
IC44	0.704422	0.845389	0.5	14	
IC46	0.71607	27.253217	0	15	
IC49	0.732272	1.849889	1.9	0	
IC50	0.768222	-9.503056	0.6	14	
IC51	0.773417	-13.441944	1	13	
IC52	0.806639	4.091472	1.2	15	
IC55	0.86177	7.718394	0.5	14	
IC56	0.858333	-12.844722	1.3	0	
IC57	0.913483	11.840942	1.1	16	
IC58	0.917345	-13.678089	0.6	15	
IC59	0.957944	61.143611	10	0	gamma Cas nebula
IC60	0.934514	-13.358286	0.6	15	
IC61	0.952006	7.506806	1.5	15	
IC62	0.978853	11.807778	1	15	
IC63	0.991333	60.911667	10	0	gamma Cas nebula
IC64	0.990113	27.058847	1.3	16	
IC65	1.015444	47.681472	4.3	13	
IC66	1.009025	30.796889	1.1	15	
IC69	1.02325	31.040556	0	15	
IC73	1.081417	4.766944	0	15	
IC74	1.098867	4.091369	0	15	
IC75	1.119908	10.836639	1.6	15	
IC76	1.136583	-4.554167	0.7	15	
IC77	1.145485	-15.420989	0	0	
IC78	1.146595	-15.844819	0	0	
IC79	1.147111	-15.948889	0.7	0	
IC80	1.147531	-15.407222	0	0	
IC82	1.151556	-15.999722	0	0	
IC83	1.174917	1.688889	0.5	15	
IC84	1.190435	1.640053	0	15	
IC86	1.224586	-16.240389	0	0	
IC87	1.237714	0.765167	0	15	
IC89	1.267675	4.294167	2.3	0	
IC90	1.275114	-7.977325	0.5	14	
IC92	1.330119	32.767306	0.7	15	
IC93	1.317292	-17.060528	1.2	14	
IC98	1.348579	-12.604594	0.6	15	
IC99	1.37425	-12.95275	0.5	15	
IC101	1.402389	9.93025	1.6	15	
IC102	1.407328	9.886556	1	16	
